Title: BV Photometry Of The RR Lyrae Variables Of The Globular Cluster M3  
Authors: Corwin T.M., Carney B.W. 
Table: B and V Photometry of the Variable Stars
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---   Name   Variable name
   6- 16 F11.3  d     JD     Julian date of observation
      18 A1     ---   Filt   Filter used 
  20- 25 F6.3   mag   Mag    ? Observed magnitude in Filt
--------------------------------------------------------------------------------
name JD filter mag
v4   2449086.878 B 14.599
v4   2449086.942 B 14.966
v4   2449086.956 B 15.004
v4   2449086.991 B 15.086
v4   2449087.005 B 14.987
v4   2449087.668 B 14.856
v4   2449087.709 B 15.021
v4   2449087.724 B 15.081
v4   2449087.737 B 15.064
v4   2449087.751 B 15.066
v4   2449087.765 B 15.124
v4   2449087.779 B 15.143
v4   2449087.792 B 15.173
v4   2449087.806 B 15.230
v4   2449087.872 B 15.274
v4   2449087.886 B 15.261
v4   2449087.919 B 15.545
v4   2449087.932 B 15.355
v4   2449087.945 B 15.364
v4   2449087.959 B 15.285
v4   2449087.972 B 14.998
v4   2449087.986 B 14.687
v4   2449088.000 B 14.506
v4   2449088.799 B 14.982
v4   2449088.813 B 14.840
v4   2449088.826 B 14.705
v4   2449088.840 B 14.770
v4   2449088.854 B 15.119
v4   2449088.870 B 14.891
v4   2449088.881 B 14.945
v4   2449088.905 B 14.976
v4   2449088.919 B 15.030
v4   2449088.936 B 15.065
v4   2449088.958 B 15.110
v4   2449088.972 B 15.177
v4   2449088.986 B 15.619
v4   2449088.999 B 15.353
v4   2449089.672 B 15.330
v4   2449089.692 B 15.355
v4   2449089.711 B 15.159
v4   2449089.730 B 14.805
v4   2449089.750 B 14.377
v4   2449089.769 B 14.381
v4   2449089.804 B 14.579
v4   2449089.833 B 14.759
v4   2449089.862 B 15.065
v4   2449089.950 B 15.167
v4   2449089.969 B 15.052
v4   2449089.988 B 15.004
v4   2449090.006 B 14.770
v4   2449090.661 B 14.970
v4   2449090.707 B 15.086
v4   2449090.724 B 15.063
v4   2449090.739 B 15.130
v4   2449090.769 B 15.183
v4   2449090.791 B 15.255
v4   2449090.809 B 15.351
v4   2449090.825 B 15.335
v4   2449090.842 B 15.324
v4   2449090.879 B 15.336
v4   2449090.895 B 15.090
v4   2449091.657 B 15.098
v4   2449091.671 B 15.171
v4   2449091.685 B 15.244
v4   2449091.699 B 15.219
v4   2449091.713 B 15.232
v4   2449091.727 B 15.200
v4   2449091.760 B 15.064
v4   2449091.787 B 14.927
v4   2449091.815 B 14.875
v4   2449091.835 B 15.015
v4   2449091.849 B 14.942
v4   2449091.862 B 14.999
v4   2449091.884 B 15.103
v4   2449091.906 B 15.126
v4   2449091.920 B 15.147
v4   2449091.934 B 15.151
v4   2449091.947 B 15.182
v4   2449091.961 B 15.184
v4   2449091.976 B 15.228
v4   2449091.990 B 15.258
v4   2450622.777 B 15.199
v4   2450622.791 B 15.196
v4   2450622.805 B 15.276
v4   2450622.818 B 15.269
v5   2448755.668 B 15.801
v5   2448755.683 B 15.869
v5   2448755.698 B 15.959
v5   2448755.714 B 16.017
v5   2448755.751 B 16.135
v5   2448755.765 B 16.191
v5   2448755.794 B 16.274
v5   2448755.808 B 16.295
v5   2448755.844 B 16.313
v5   2448755.858 B 16.283
v5   2448755.886 B 16.287
v5   2448755.900 B 16.314
v5   2448755.913 B 16.340
v5   2448755.927 B 16.360
v5   2448755.942 B 16.373
v5   2448756.662 B 15.706
v5   2448756.676 B 15.791
v5   2448756.708 B 15.941
v5   2448756.722 B 16.002
v5   2448756.753 B 16.111
v5   2448756.767 B 16.154
v5   2448756.781 B 16.217
v5   2448756.795 B 16.235
v5   2448756.810 B 16.263
v5   2448756.825 B 16.294
v5   2448756.840 B 16.317
v5   2448756.853 B 16.324
v5   2448756.867 B 16.314
v5   2448756.881 B 16.327
v5   2448756.895 B 16.328
v5   2448756.910 B 16.328
v5   2448756.925 B 16.355
v5   2448756.939 B 16.441
v5   2448757.639 B 15.466
v5   2448757.654 B 15.561
v5   2448757.763 B 16.115
v5   2448757.777 B 16.158
v5   2448757.830 B 16.302
v5   2448757.872 B 16.342
v5   2448757.886 B 16.307
v5   2448757.900 B 16.319
v5   2448757.914 B 16.316
v5   2448757.939 B 16.338
v5   2448757.942 B 16.354
v5   2448758.663 B 15.553
v5   2448758.678 B 15.655
v5   2448758.705 B 15.812
v5   2448758.719 B 15.886
v5   2448758.755 B 16.042
v5   2448758.780 B 16.147
v5   2448758.799 B 16.140
v5   2448758.830 B 16.290
v5   2448758.848 B 16.305
v5   2448758.878 B 16.317
v5   2448758.898 B 16.313
v5   2448758.918 B 16.326
v5   2448758.938 B 16.371
v5   2448759.759 B 16.028
v5   2448759.789 B 16.129
v5   2448759.803 B 16.175
v5   2448759.817 B 16.212
v5   2448759.836 B 16.280
v5   2448759.850 B 16.303
v5   2448759.865 B 16.327
v5   2448759.878 B 16.345
v5   2448759.892 B 16.367
v5   2448759.907 B 16.357
